,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.15,,,
Port,Patient,,,
Left Pressure (cmH20),6,6.5,,
Right Pressure (cmH20),3,3.5,,
Left Volume(L),0.4,0.49,0.4,0.48
Right Volume(L),0.39,0.47,0.4,0.48
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:48:18.956 -> S0.08 10.81 157.42 2.37,,,,
17:48:18.956 -> S0.08 10.91 157.42 2.37,,,,
17:48:18.956 -> S0.08 10.91 157.42 2.37,,,,
17:48:18.956 -> S0.09 11.10 157.42 2.37,,,,
17:48:18.956 -> S0.10 11.71 157.42 2.37,,,,
17:48:18.956 -> S0.10 11.82 157.42 2.37,,,,
17:48:18.990 -> S0.10 11.89 157.42 2.37,,,,
17:48:18.990 -> S0.10 11.80 157.42 2.37,,,,
17:48:18.990 -> S0.09 11.43 157.42 2.37,,,,
17:48:18.990 -> S0.08 10.99 157.42 2.37,,,,
17:48:18.990 -> S0.08 10.89 157.42 2.37,,,,
17:48:19.023 -> S0.08 10.77 157.42 2.37,,,,
17:48:19.023 -> S0.08 10.93 157.42 2.37,,,,
17:48:19.023 -> S0.09 11.22 157.42 2.37,,,,
17:48:19.023 -> S0.09 11.43 157.42 2.37,,,,
17:48:19.023 -> S0.09 11.41 157.42 2.37,,,,
17:48:19.056 -> S0.09 11.38 157.42 2.37,,,,
17:48:19.056 -> S0.09 11.53 157.42 2.37,,,,
17:48:19.056 -> S0.09 11.47 157.42 2.37,,,,
17:48:19.056 -> S0.09 11.20 157.42 2.37,,,,
17:48:19.056 -> S0.08 11.04 157.42 2.37,,,,
17:48:19.056 -> S0.09 11.16 157.42 2.37,,,,
17:48:19.090 -> S0.09 11.47 157.42 2.37,,,,
17:48:19.090 -> S0.09 11.53 157.42 2.37,,,,
17:48:19.090 -> S0.09 11.61 157.42 2.37,,,,
17:48:19.090 -> S0.09 11.54 157.42 2.37,,,,
17:48:19.090 -> S0.09 11.40 157.42 2.37,,,,
17:48:19.123 -> S0.09 11.40 157.42 2.37,,,,
17:48:19.123 -> S0.09 11.34 157.42 2.37,,,,
17:48:19.123 -> S0.09 11.18 157.42 2.37,,,,
17:48:19.123 -> S0.09 11.45 157.42 2.37,,,,
17:48:19.123 -> S0.09 11.38 157.42 2.37,,,,
17:48:19.123 -> S0.09 11.30 157.42 2.37,,,,
17:48:19.159 -> S0.09 11.17 157.42 2.37,,,,
17:48:19.159 -> S0.09 11.10 157.42 2.37,,,,
17:48:19.159 -> S0.09 11.14 157.42 2.37,,,,
17:48:19.159 -> S0.09 11.29 157.42 2.37,,,,
17:48:19.159 -> S0.09 11.38 157.42 2.37,,,,
17:48:19.159 -> S0.09 11.24 157.42 2.37,,,,
17:48:19.197 -> S0.10 11.72 157.42 2.37,,,,
17:48:19.197 -> S0.09 11.45 157.42 2.37,,,,
17:48:19.197 -> S0.09 11.33 157.42 2.37,,,,
17:48:19.197 -> S0.09 11.39 157.42 2.37,,,,
17:48:19.197 -> S0.09 11.28 157.42 2.37,,,,
17:48:19.197 -> S0.09 11.17 157.42 2.37,,,,
17:48:19.233 -> S0.09 11.20 157.42 2.37,,,,
17:48:19.233 -> S0.09 11.43 157.42 2.37,,,,
17:48:19.233 -> S0.09 11.50 157.42 2.37,,,,
17:48:19.233 -> S0.10 11.72 157.42 2.37,,,,
17:48:19.233 -> S0.09 11.10 157.42 2.37,,,,
17:48:19.233 -> S0.08 11.03 157.42 2.37,,,,
17:48:19.267 -> S0.10 11.69 157.42 2.37,,,,
17:48:19.267 -> S0.09 11.66 157.42 2.37,,,,
17:48:19.267 -> S0.09 11.42 157.42 2.37,,,,
17:48:19.267 -> S0.09 11.60 157.42 2.37,,,,
17:48:19.267 -> S0.09 11.47 157.42 2.37,,,,
17:48:19.267 -> S0.09 11.55 157.42 2.37,,,,
17:48:19.301 -> S0.09 11.30 157.42 2.37,,,,
17:48:19.301 -> S0.09 11.52 157.42 2.37,,,,
17:48:19.301 -> S0.09 11.31 157.42 2.37,,,,
17:48:19.301 -> S0.09 11.21 157.42 2.37,,,,
17:48:19.301 -> S0.09 11.22 157.42 2.37,,,,
17:48:19.301 -> S0.09 11.57 157.42 2.37,,,,
17:48:19.339 -> S0.09 11.59 157.42 2.37,,,,
17:48:19.339 -> S0.09 11.42 157.42 2.37,,,,
17:48:19.339 -> S0.09 11.18 157.42 2.37,,,,
17:48:19.339 -> S0.09 11.16 157.42 2.37,,,,
17:48:19.339 -> S0.09 11.24 157.42 2.37,,,,
17:48:19.339 -> S0.08 11.03 157.42 2.37,,,,
17:48:19.372 -> S0.09 11.10 157.42 2.37,,,,
17:48:19.372 -> S0.09 11.43 157.42 2.37,,,,
17:48:19.372 -> S0.09 11.41 157.42 2.37,,,,
17:48:19.372 -> S0.09 11.61 157.42 2.37,,,,
17:48:19.372 -> S0.09 11.50 157.42 2.37,,,,
17:48:19.409 -> S0.09 11.58 157.42 2.37,,,,
17:48:19.409 -> S0.09 11.30 157.42 2.37,,,,
17:48:19.409 -> S0.09 11.24 157.42 2.37,,,,
17:48:19.409 -> S0.09 11.18 157.42 2.37,,,,
17:48:19.409 -> S0.09 11.25 157.42 2.37,,,,
17:48:19.409 -> S0.09 11.40 157.42 2.37,,,,
17:48:19.409 -> S0.09 11.29 157.42 2.37,,,,
17:48:19.443 -> S0.09 11.37 157.42 2.37,,,,
17:48:19.443 -> S0.09 11.21 157.42 2.37,,,,
17:48:19.443 -> S0.09 11.15 157.42 2.37,,,,
17:48:19.443 -> S0.09 11.24 157.42 2.37,,,,
17:48:19.443 -> S0.09 11.36 157.42 2.37,,,,
17:48:19.443 -> S0.09 11.61 157.42 2.37,,,,
17:48:19.480 -> S0.09 11.66 157.42 2.37,,,,
17:48:19.480 -> S0.10 11.71 157.42 2.37,,,,
17:48:19.480 -> S0.09 11.36 157.42 2.37,,,,
17:48:19.480 -> S0.09 11.24 157.42 2.37,,,,
17:48:19.480 -> S0.09 11.26 157.42 2.37,,,,
17:48:19.518 -> S0.09 11.52 157.42 2.37,,,,
17:48:19.518 -> S0.09 11.47 157.42 2.37,,,,
17:48:19.518 -> S0.09 11.24 157.42 2.37,,,,
17:48:19.518 -> S0.09 11.15 157.42 2.37,,,,
17:48:19.518 -> S0.09 11.23 157.42 2.37,,,,
17:48:19.518 -> S0.09 11.33 157.42 2.37,,,,
17:48:19.518 -> S0.09 11.45 157.42 2.37,,,,
17:48:19.553 -> S0.09 11.45 157.42 2.37,,,,
17:48:19.553 -> S0.09 11.23 157.42 2.37,,,,
17:48:19.553 -> S0.09 11.16 157.42 2.37,,,,
17:48:19.553 -> S0.09 11.46 157.42 2.37,,,,
17:48:19.553 -> S0.09 11.39 157.42 2.37,,,,
17:48:19.553 -> S0.09 11.18 157.42 2.37,,,,
17:48:19.588 -> S0.09 11.16 157.42 2.37,,,,
17:48:19.588 -> S0.09 11.22 157.42 2.37,,,,
17:48:19.588 -> S0.09 11.22 157.42 2.37,,,,
17:48:19.588 -> S0.09 11.38 157.42 2.37,,,,
17:48:19.588 -> S0.09 11.36 157.42 2.37,,,,
17:48:19.588 -> S0.09 11.41 157.42 2.37,,,,
17:48:19.625 -> S0.09 11.56 157.42 2.37,,,,
17:48:19.625 -> S0.09 11.52 157.42 2.37,,,,
17:48:19.625 -> S0.09 11.36 157.42 2.37,,,,
17:48:19.625 -> S0.09 11.27 157.42 2.37,,,,
17:48:19.625 -> S0.09 11.29 157.42 2.37,,,,
17:48:19.625 -> S0.09 11.39 157.42 2.37,,,,
17:48:19.660 -> S0.09 11.42 157.42 2.37,,,,
17:48:19.660 -> S0.09 11.36 157.42 2.37,,,,
17:48:19.660 -> S0.09 11.22 157.42 2.37,,,,
17:48:19.660 -> S0.08 10.99 157.42 2.37,,,,
17:48:19.660 -> S0.08 11.04 157.42 2.37,,,,
17:48:19.694 -> S0.09 11.07 157.42 2.37,,,,
17:48:19.694 -> S0.09 11.15 157.42 2.37,,,,
17:48:19.694 -> S0.09 11.28 157.42 2.37,,,,
17:48:19.694 -> S0.09 11.47 157.42 2.37,,,,
17:48:19.694 -> S0.10 11.74 157.42 2.37,,,,
17:48:19.694 -> S0.09 11.43 157.42 2.37,,,,
17:48:19.729 -> S0.09 11.09 157.42 2.37,,,,
17:48:19.729 -> S0.09 11.18 157.42 2.37,,,,
17:48:19.729 -> S0.09 11.42 157.42 2.37,,,,
17:48:19.729 -> S0.09 11.33 157.42 2.37,,,,
17:48:19.729 -> S0.09 11.21 157.42 2.37,,,,
17:48:19.729 -> S0.09 11.66 157.42 2.37,,,,
17:48:19.762 -> S0.09 11.07 157.42 2.37,,,,
17:48:19.762 -> S-0.00 -1.64 157.86 2.37,,,,
17:48:19.762 -> S-0.04 -7.21 157.86 2.37,,,,
17:48:19.762 -> S-0.06 -8.93 157.86 2.37,,,,
17:48:19.762 -> S-0.05 -8.17 157.86 2.37,,,,
17:48:19.797 -> S-0.04 -7.71 157.86 2.37,,,,
17:48:19.797 -> S-0.03 -6.38 157.86 2.37,,,,
17:48:19.797 -> S-0.02 -5.11 157.86 2.37,,,,
17:48:19.797 -> S-0.01 -3.59 157.86 2.37,,,,
17:48:19.797 -> S-0.00 -2.61 157.86 2.37,,,,
17:48:19.797 -> S-0.01 -3.00 157.86 2.37,,,,
17:48:19.832 -> S-0.01 -4.16 157.86 2.37,,,,
17:48:19.832 -> S-0.01 -4.47 157.86 2.37,,,,
17:48:19.832 -> S-0.02 -4.89 157.86 2.37,,,,
17:48:19.832 -> S-0.02 -5.32 157.86 2.37,,,,
17:48:19.832 -> S-0.02 -5.78 157.86 2.37,,,,
17:48:19.832 -> S-0.02 -5.97 157.86 2.37,,,,
17:48:19.869 -> S-0.02 -5.91 157.86 2.37,,,,
17:48:19.869 -> S-0.02 -5.74 157.86 2.37,,,,
17:48:19.869 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:19.869 -> S-0.02 -5.06 157.86 2.37,,,,
17:48:19.869 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:19.869 -> S-0.01 -4.42 157.86 2.37,,,,
17:48:19.904 -> S-0.01 -4.53 157.86 2.37,,,,
17:48:19.904 -> S-0.02 -4.94 157.86 2.37,,,,
17:48:19.904 -> S-0.02 -5.48 157.86 2.37,,,,
17:48:19.904 -> S-0.02 -5.93 157.86 2.37,,,,
17:48:19.904 -> S-0.03 -6.19 157.86 2.37,,,,
17:48:19.904 -> S-0.03 -6.15 157.86 2.37,,,,
17:48:19.941 -> S-0.02 -5.84 157.86 2.37,,,,
17:48:19.941 -> S-0.02 -5.39 157.86 2.37,,,,
17:48:19.941 -> S-0.02 -5.01 157.86 2.37,,,,
17:48:19.941 -> S-0.02 -4.89 157.86 2.37,,,,
17:48:19.941 -> S-0.02 -4.89 157.86 2.37,,,,
17:48:19.941 -> S-0.02 -5.11 157.86 2.37,,,,
17:48:19.978 -> S-0.02 -5.54 157.86 2.37,,,,
17:48:19.978 -> S-0.02 -5.97 157.86 2.37,,,,
17:48:19.978 -> S-0.03 -6.01 157.86 2.37,,,,
17:48:19.978 -> S-0.02 -5.91 157.86 2.37,,,,
17:48:19.978 -> S-0.02 -5.72 157.86 2.37,,,,
17:48:19.978 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:19.978 -> S-0.02 -4.96 157.86 2.37,,,,
17:48:20.015 -> S-0.02 -4.91 157.86 2.37,,,,
17:48:20.015 -> S-0.02 -5.01 157.86 2.37,,,,
17:48:20.015 -> S-0.02 -5.18 157.86 2.37,,,,
17:48:20.015 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.015 -> S-0.02 -5.63 157.86 2.37,,,,
17:48:20.015 -> S-0.02 -5.74 157.86 2.37,,,,
17:48:20.050 -> S-0.02 -5.74 157.86 2.37,,,,
17:48:20.050 -> S-0.02 -5.65 157.86 2.37,,,,
17:48:20.050 -> S-0.02 -5.59 157.86 2.37,,,,
17:48:20.050 -> S-0.02 -5.32 157.86 2.37,,,,
17:48:20.050 -> S-0.02 -5.16 157.86 2.37,,,,
17:48:20.050 -> S-0.02 -5.20 157.86 2.37,,,,
17:48:20.084 -> S-0.02 -5.48 157.86 2.37,,,,
17:48:20.084 -> S-0.02 -5.78 157.86 2.37,,,,
17:48:20.084 -> S-0.02 -5.86 157.86 2.37,,,,
17:48:20.084 -> S-0.02 -5.78 157.86 2.37,,,,
17:48:20.084 -> S-0.02 -5.56 157.86 2.37,,,,
17:48:20.120 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:20.120 -> S-0.02 -5.23 157.86 2.37,,,,
17:48:20.120 -> S-0.02 -5.23 157.86 2.37,,,,
17:48:20.120 -> S-0.02 -5.32 157.86 2.37,,,,
17:48:20.120 -> S-0.02 -5.36 157.86 2.37,,,,
17:48:20.120 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.154 -> S-0.02 -5.39 157.86 2.37,,,,
17:48:20.154 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:20.154 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:20.154 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:20.154 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.154 -> S-0.02 -5.41 157.86 2.37,,,,
17:48:20.188 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:20.188 -> S-0.02 -5.36 157.86 2.37,,,,
17:48:20.188 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.188 -> S-0.02 -5.45 157.86 2.37,,,,
17:48:20.188 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.221 -> S-0.02 -5.52 157.86 2.37,,,,
17:48:20.221 -> S-0.02 -5.45 157.86 2.37,,,,
17:48:20.221 -> S-0.02 -5.36 157.86 2.37,,,,
17:48:20.221 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:20.221 -> S-0.02 -5.39 157.86 2.37,,,,
17:48:20.221 -> S-0.02 -5.30 157.86 2.37,,,,
17:48:20.254 -> S-0.02 -5.30 157.86 2.37,,,,
17:48:20.254 -> S-0.02 -5.27 157.86 2.37,,,,
17:48:20.254 -> S-0.02 -5.32 157.86 2.37,,,,
17:48:20.254 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.254 -> S-0.02 -5.56 157.86 2.37,,,,
17:48:20.287 -> S-0.02 -5.52 157.86 2.37,,,,
17:48:20.287 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.287 -> S-0.02 -5.32 157.86 2.37,,,,
17:48:20.287 -> S-0.02 -5.20 157.86 2.37,,,,
17:48:20.287 -> S-0.02 -5.27 157.86 2.37,,,,
17:48:20.287 -> S-0.02 -5.48 157.86 2.37,,,,
17:48:20.323 -> S-0.02 -5.59 157.86 2.37,,,,
17:48:20.323 -> S-0.02 -5.61 157.86 2.37,,,,
17:48:20.323 -> S-0.02 -5.61 157.86 2.37,,,,
17:48:20.323 -> S-0.02 -5.59 157.86 2.37,,,,
17:48:20.323 -> S-0.02 -5.52 157.86 2.37,,,,
17:48:20.323 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.323 -> S-0.02 -5.32 157.86 2.37,,,,
17:48:20.357 -> S-0.02 -5.27 157.86 2.37,,,,
17:48:20.357 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:20.357 -> S-0.02 -5.45 157.86 2.37,,,,
17:48:20.357 -> S-0.02 -5.39 157.86 2.37,,,,
17:48:20.357 -> S-0.02 -5.36 157.86 2.37,,,,
17:48:20.391 -> S-0.02 -5.25 157.86 2.37,,,,
17:48:20.391 -> S-0.02 -5.11 157.86 2.37,,,,
17:48:20.391 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.391 -> S-0.02 -5.11 157.86 2.37,,,,
17:48:20.391 -> S-0.02 -5.32 157.86 2.37,,,,
17:48:20.426 -> S-0.02 -5.45 157.86 2.37,,,,
17:48:20.426 -> S-0.02 -5.74 157.86 2.37,,,,
17:48:20.426 -> S-0.02 -5.67 157.86 2.37,,,,
17:48:20.426 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.426 -> S-0.02 -5.13 157.86 2.37,,,,
17:48:20.426 -> S-0.02 -4.99 157.86 2.37,,,,
17:48:20.426 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.460 -> S-0.02 -5.25 157.86 2.37,,,,
17:48:20.460 -> S-0.02 -5.39 157.86 2.37,,,,
17:48:20.460 -> S-0.02 -5.48 157.86 2.37,,,,
17:48:20.460 -> S-0.02 -5.45 157.86 2.37,,,,
17:48:20.460 -> S-0.02 -5.39 157.86 2.37,,,,
17:48:20.494 -> S-0.02 -5.43 157.86 2.37,,,,
17:48:20.494 -> S-0.02 -5.34 157.86 2.37,,,,
17:48:20.494 -> S-0.02 -5.16 157.86 2.37,,,,
17:48:20.494 -> S-0.02 -5.27 157.86 2.37,,,,
17:48:20.494 -> S-0.02 -5.32 157.86 2.37,,,,
17:48:20.494 -> S-0.02 -5.27 157.86 2.37,,,,
17:48:20.531 -> S-0.02 -5.25 157.86 2.37,,,,
17:48:20.531 -> S-0.02 -5.36 157.86 2.37,,,,
17:48:20.531 -> S-0.02 -5.48 157.86 2.37,,,,
17:48:20.531 -> S-0.02 -5.39 157.86 2.37,,,,
17:48:20.531 -> S-0.02 -5.36 157.86 2.37,,,,
17:48:20.531 -> S-0.02 -5.23 157.86 2.37,,,,
17:48:20.564 -> S-0.02 -5.06 157.86 2.37,,,,
17:48:20.564 -> S-0.02 -5.13 157.86 2.37,,,,
17:48:20.564 -> S-0.02 -5.20 157.86 2.37,,,,
17:48:20.564 -> S-0.02 -5.11 157.86 2.37,,,,
17:48:20.564 -> S-0.02 -5.11 157.86 2.37,,,,
17:48:20.598 -> S-0.02 -5.16 157.86 2.37,,,,
17:48:20.598 -> S-0.02 -5.25 157.86 2.37,,,,
17:48:20.598 -> S-0.02 -5.23 157.86 2.37,,,,
17:48:20.598 -> S-0.02 -5.27 157.86 2.37,,,,
17:48:20.598 -> S-0.02 -5.23 157.86 2.37,,,,
17:48:20.598 -> S-0.02 -5.13 157.86 2.37,,,,
17:48:20.632 -> S-0.02 -5.06 157.86 2.37,,,,
17:48:20.632 -> S-0.02 -5.23 157.86 2.37,,,,
17:48:20.632 -> S-0.02 -5.30 157.86 2.37,,,,
17:48:20.632 -> S-0.02 -5.27 157.86 2.37,,,,
17:48:20.632 -> S-0.02 -5.25 157.86 2.37,,,,
17:48:20.632 -> S-0.02 -5.18 157.86 2.37,,,,
17:48:20.670 -> S-0.02 -5.13 157.86 2.37,,,,
17:48:20.670 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.670 -> S-0.02 -5.04 157.86 2.37,,,,
17:48:20.670 -> S-0.02 -4.99 157.86 2.37,,,,
17:48:20.670 -> S-0.02 -5.06 157.86 2.37,,,,
17:48:20.670 -> S-0.02 -5.11 157.86 2.37,,,,
17:48:20.704 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.704 -> S-0.02 -5.13 157.86 2.37,,,,
17:48:20.704 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.704 -> S-0.02 -5.01 157.86 2.37,,,,
17:48:20.704 -> S-0.02 -4.94 157.86 2.37,,,,
17:48:20.740 -> S-0.02 -4.96 157.86 2.37,,,,
17:48:20.740 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.740 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.740 -> S-0.02 -5.18 157.86 2.37,,,,
17:48:20.740 -> S-0.02 -5.25 157.86 2.37,,,,
17:48:20.740 -> S-0.02 -5.20 157.86 2.37,,,,
17:48:20.775 -> S-0.02 -5.13 157.86 2.37,,,,
17:48:20.775 -> S-0.02 -5.04 157.86 2.37,,,,
17:48:20.775 -> S-0.02 -4.91 157.86 2.37,,,,
17:48:20.775 -> S-0.02 -4.86 157.86 2.37,,,,
17:48:20.775 -> S-0.02 -4.94 157.86 2.37,,,,
17:48:20.775 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.775 -> S-0.02 -5.25 157.86 2.37,,,,
17:48:20.808 -> S-0.02 -5.27 157.86 2.37,,,,
17:48:20.808 -> S-0.02 -5.06 157.86 2.37,,,,
17:48:20.808 -> S-0.02 -4.91 157.86 2.37,,,,
17:48:20.808 -> S-0.02 -4.86 157.86 2.37,,,,
17:48:20.808 -> S-0.02 -4.89 157.86 2.37,,,,
17:48:20.842 -> S-0.02 -4.94 157.86 2.37,,,,
17:48:20.842 -> S-0.02 -4.96 157.86 2.37,,,,
17:48:20.842 -> S-0.02 -4.94 157.86 2.37,,,,
17:48:20.842 -> S-0.02 -4.94 157.86 2.37,,,,
17:48:20.842 -> S-0.02 -4.99 157.86 2.37,,,,
17:48:20.842 -> S-0.02 -5.04 157.86 2.37,,,,
17:48:20.875 -> S-0.02 -5.01 157.86 2.37,,,,
17:48:20.875 -> S-0.02 -4.99 157.86 2.37,,,,
17:48:20.875 -> S-0.02 -5.01 157.86 2.37,,,,
17:48:20.875 -> S-0.02 -5.01 157.86 2.37,,,,
17:48:20.875 -> S-0.02 -5.04 157.86 2.37,,,,
17:48:20.910 -> S-0.02 -5.11 157.86 2.37,,,,
17:48:20.910 -> S-0.02 -5.08 157.86 2.37,,,,
17:48:20.910 -> S-0.02 -4.96 157.86 2.37,,,,
17:48:20.910 -> S-0.02 -4.91 157.86 2.37,,,,
17:48:20.910 -> S-0.02 -4.84 157.86 2.37,,,,
17:48:20.943 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:20.943 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:20.943 -> S-0.02 -4.74 157.86 2.37,,,,
17:48:20.943 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:20.943 -> S-0.02 -4.79 157.86 2.37,,,,
17:48:20.943 -> S-0.02 -4.84 157.86 2.37,,,,
17:48:20.943 -> S-0.02 -4.91 157.86 2.37,,,,
17:48:20.977 -> S-0.02 -5.13 157.86 2.37,,,,
17:48:20.977 -> S-0.02 -5.30 157.86 2.37,,,,
17:48:20.977 -> S-0.02 -5.16 157.86 2.37,,,,
17:48:20.977 -> S-0.02 -4.81 157.86 2.37,,,,
17:48:20.977 -> S-0.01 -4.63 157.86 2.37,,,,
17:48:21.013 -> S-0.02 -4.66 157.86 2.37,,,,
17:48:21.013 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:21.013 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.013 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:21.013 -> S-0.02 -4.86 157.86 2.37,,,,
17:48:21.013 -> S-0.02 -4.89 157.86 2.37,,,,
17:48:21.047 -> S-0.02 -4.86 157.86 2.37,,,,
17:48:21.047 -> S-0.02 -4.86 157.86 2.37,,,,
17:48:21.047 -> S-0.02 -4.84 157.86 2.37,,,,
17:48:21.047 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.047 -> S-0.01 -4.63 157.86 2.37,,,,
17:48:21.047 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:21.085 -> S-0.02 -4.84 157.86 2.37,,,,
17:48:21.085 -> S-0.02 -4.94 157.86 2.37,,,,
17:48:21.085 -> S-0.02 -4.91 157.86 2.37,,,,
17:48:21.085 -> S-0.02 -4.84 157.86 2.37,,,,
17:48:21.085 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:21.085 -> S-0.02 -4.66 157.86 2.37,,,,
17:48:21.118 -> S-0.01 -4.63 157.86 2.37,,,,
17:48:21.118 -> S-0.02 -4.66 157.86 2.37,,,,
17:48:21.118 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:21.118 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.118 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.118 -> S-0.02 -4.74 157.86 2.37,,,,
17:48:21.155 -> S-0.02 -4.81 157.86 2.37,,,,
17:48:21.155 -> S-0.02 -4.79 157.86 2.37,,,,
17:48:21.155 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:21.155 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.155 -> S-0.02 -4.74 157.86 2.37,,,,
17:48:21.188 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.188 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:21.188 -> S-0.02 -4.79 157.86 2.37,,,,
17:48:21.188 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:21.188 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:21.188 -> S-0.01 -4.61 157.86 2.37,,,,
17:48:21.221 -> S-0.01 -4.58 157.86 2.37,,,,
17:48:21.221 -> S-0.01 -4.61 157.86 2.37,,,,
17:48:21.221 -> S-0.02 -4.66 157.86 2.37,,,,
17:48:21.221 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.221 -> S-0.02 -4.91 157.86 2.37,,,,
17:48:21.221 -> S-0.02 -5.01 157.86 2.37,,,,
17:48:21.257 -> S-0.02 -4.96 157.86 2.37,,,,
17:48:21.257 -> S-0.02 -4.86 157.86 2.37,,,,
17:48:21.257 -> S-0.02 -4.74 157.86 2.37,,,,
17:48:21.257 -> S-0.01 -4.63 157.86 2.37,,,,
17:48:21.257 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.257 -> S-0.02 -4.81 157.86 2.37,,,,
17:48:21.290 -> S-0.02 -4.94 157.86 2.37,,,,
17:48:21.290 -> S-0.02 -4.91 157.86 2.37,,,,
17:48:21.290 -> S-0.02 -4.81 157.86 2.37,,,,
17:48:21.290 -> S-0.02 -4.74 157.86 2.37,,,,
17:48:21.290 -> S-0.02 -4.71 157.86 2.37,,,,
17:48:21.290 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:21.325 -> S-0.01 -4.63 157.86 2.37,,,,
17:48:21.325 -> S-0.01 -4.61 157.86 2.37,,,,
17:48:21.325 -> S-0.02 -4.68 157.86 2.37,,,,
17:48:21.325 -> S-0.02 -4.79 157.86 2.37,,,,
17:48:21.325 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:21.359 -> S-0.01 -4.61 157.86 2.37,,,,
17:48:21.359 -> S-0.01 -4.50 157.86 2.37,,,,
17:48:21.359 -> S-0.01 -4.53 157.86 2.37,,,,
17:48:21.359 -> S-0.01 -4.53 157.86 2.37,,,,
17:48:21.359 -> S-0.01 -4.53 157.86 2.37,,,,
17:48:21.359 -> S-0.01 -4.58 157.86 2.37,,,,
17:48:21.392 -> S-0.01 -4.63 157.86 2.37,,,,
17:48:21.392 -> S-0.01 -4.55 157.86 2.37,,,,
17:48:21.392 -> S-0.01 -4.53 157.86 2.37,,,,
17:48:21.392 -> S-0.01 -4.47 157.86 2.37,,,,
17:48:21.392 -> S-0.01 -4.47 157.86 2.37,,,,
17:48:21.426 -> S-0.02 -4.66 157.86 2.37,,,,
17:48:21.426 -> S-0.02 -4.66 157.86 2.37,,,,
17:48:21.426 -> S-0.01 -4.55 157.86 2.37,,,,
17:48:21.426 -> S-0.01 -4.44 157.86 2.37,,,,
17:48:21.426 -> S-0.01 -4.39 157.86 2.37,,,,
17:48:21.426 -> S-0.01 -4.42 157.86 2.37,,,,
17:48:21.463 -> S-0.01 -4.47 157.86 2.37,,,,
17:48:21.463 -> S-0.01 -4.44 157.86 2.37,,,,
17:48:21.463 -> S-0.01 -4.42 157.86 2.37,,,,
17:48:21.463 -> S-0.01 -4.39 157.86 2.37,,,,
17:48:21.463 -> S-0.01 -4.42 157.86 2.37,,,,
17:48:21.463 -> S-0.01 -4.53 157.86 2.37,,,,
17:48:21.500 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:21.500 -> S-0.02 -4.76 157.86 2.37,,,,
17:48:21.500 -> S-0.01 -4.55 157.86 2.37,,,,
