,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.15,,,
Port,Patient,,,
Left Pressure (cmH20),6,6.5,,
Right Pressure (cmH20),3,3.5,,
Left Volume(L),0.4,0.49,0.4,0.48
Right Volume(L),0.39,0.47,0.4,0.48
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:47:07.447 -> S0.08 11.02 0.00 0.00,,,,
17:47:07.447 -> S0.09 11.30 0.00 0.00,,,,
17:47:07.447 -> S0.09 11.33 0.00 0.00,,,,
17:47:07.447 -> S0.09 11.22 0.00 0.00,,,,
17:47:07.447 -> S0.09 11.34 0.00 0.00,,,,
17:47:07.484 -> S0.09 11.59 0.00 0.00,,,,
17:47:07.484 -> S0.09 11.61 0.00 0.00,,,,
17:47:07.484 -> S0.10 11.81 0.00 0.00,,,,
17:47:07.484 -> S0.10 11.82 0.00 0.00,,,,
17:47:07.484 -> S0.09 11.61 0.00 0.00,,,,
17:47:07.484 -> S0.09 11.53 0.00 0.00,,,,
17:47:07.521 -> S0.09 11.20 0.00 0.00,,,,
17:47:07.521 -> S0.09 11.05 0.00 0.00,,,,
17:47:07.521 -> S0.09 11.30 0.00 0.00,,,,
17:47:07.521 -> S0.09 11.40 0.00 0.00,,,,
17:47:07.521 -> S0.09 11.46 0.00 0.00,,,,
17:47:07.521 -> S0.09 11.59 0.00 0.00,,,,
17:47:07.559 -> S0.09 11.54 0.00 0.00,,,,
17:47:07.559 -> S0.09 11.53 0.00 0.00,,,,
17:47:07.559 -> S0.09 11.36 0.00 0.00,,,,
17:47:07.559 -> S0.09 11.50 0.00 0.00,,,,
17:47:07.559 -> S0.09 11.49 0.00 0.00,,,,
17:47:07.559 -> S0.09 11.26 0.00 0.00,,,,
17:47:07.596 -> S0.08 11.02 0.00 0.00,,,,
17:47:07.596 -> S0.08 10.63 0.00 0.00,,,,
17:47:07.596 -> S0.07 10.37 0.00 0.00,,,,
17:47:07.596 -> S0.08 10.53 0.00 0.00,,,,
17:47:07.596 -> S0.08 10.95 0.00 0.00,,,,
17:47:07.596 -> S0.09 11.41 0.00 0.00,,,,
17:47:07.633 -> S0.09 11.31 0.00 0.00,,,,
17:47:07.633 -> S0.09 11.28 0.00 0.00,,,,
