,Min1,Max1,Min2,Max2
17:42:07.198 -> S0.08 11.00 0.00 0.00,,,,
17:42:07.198 -> S0.08 11.04 0.00 0.00,,,,
17:42:07.198 -> S0.09 11.18 0.00 0.00,,,,
17:42:07.198 -> S0.08 10.94 0.00 0.00,,,,
17:42:07.233 -> S0.08 11.00 0.00 0.00,,,,
17:42:07.233 -> S0.08 10.85 0.00 0.00,,,,
17:42:07.233 -> S0.08 10.93 0.00 0.00,,,,
17:42:07.233 -> S0.08 10.93 0.00 0.00,,,,
17:42:07.233 -> S0.08 10.93 0.00 0.00,,,,
17:42:07.233 -> S0.08 11.00 0.00 0.00,,,,
17:42:07.267 -> S0.08 10.87 0.00 0.00,,,,
17:42:07.267 -> S0.09 11.09 0.00 0.00,,,,
17:42:07.267 -> S0.09 11.09 0.00 0.00,,,,
17:42:07.267 -> S0.08 10.86 0.00 0.00,,,,
17:42:07.267 -> S0.08 11.02 0.00 0.00,,,,
17:42:07.303 -> S0.08 10.92 0.00 0.00,,,,
17:42:07.303 -> S0.08 11.00 0.00 0.00,,,,
17:42:07.303 -> S0.08 10.90 0.00 0.00,,,,
17:42:07.303 -> S0.09 11.25 0.00 0.00,,,,
17:42:07.303 -> S0.08 10.92 0.00 0.00,,,,
17:42:07.303 -> S0.08 10.60 0.00 0.00,,,,
17:42:07.339 -> S0.01 3.00 0.00 0.00,,,,
17:42:07.339 -> S-0.05 -8.19 65.59 0.07,,,,
17:42:07.339 -> S-0.09 -11.46 65.59 0.07,,,,
17:42:07.339 -> S-0.11 -12.42 65.59 0.07,,,,
17:42:07.339 -> S-0.11 -12.37 65.59 0.07,,,,
17:42:07.339 -> S-0.11 -12.36 65.59 0.07,,,,
17:42:07.376 -> S-0.10 -11.94 65.59 0.07,,,,
17:42:07.376 -> S-0.09 -11.21 65.59 0.07,,,,
17:42:07.376 -> S-0.09 -11.14 65.59 0.07,,,,
17:42:07.376 -> S-0.09 -11.53 65.59 0.07,,,,
17:42:07.376 -> S-0.10 -11.94 65.59 0.07,,,,
17:42:07.376 -> S-0.10 -12.23 65.59 0.07,,,,
17:42:07.413 -> S-0.13 -13.40 65.59 0.07,,,,
17:42:07.413 -> S-0.13 -13.86 65.59 0.07,,,,
17:42:07.413 -> S-0.14 -14.35 65.59 0.07,,,,
17:42:07.413 -> S-0.14 -14.28 65.59 0.07,,,,
17:42:07.413 -> S-0.15 -14.81 65.59 0.07,,,,
17:42:07.413 -> S-0.15 -14.62 65.59 0.07,,,,
17:42:07.447 -> S-0.15 -14.57 65.59 0.07,,,,
17:42:07.447 -> S-0.15 -14.57 65.59 0.07,,,,
17:42:07.447 -> S-0.15 -14.63 65.59 0.07,,,,
17:42:07.447 -> S-0.15 -14.71 65.59 0.07,,,,
17:42:07.447 -> S-0.15 -14.64 65.59 0.07,,,,
17:42:07.447 -> S-0.15 -14.45 65.59 0.07,,,,
17:42:07.481 -> S-0.14 -14.23 65.59 0.07,,,,
17:42:07.481 -> S-0.14 -14.13 65.59 0.07,,,,
17:42:07.481 -> S-0.13 -13.91 65.59 0.07,,,,
17:42:07.481 -> S-0.14 -13.96 65.59 0.07,,,,
17:42:07.481 -> S-0.14 -14.29 65.59 0.07,,,,
17:42:07.481 -> S-0.13 -13.84 65.59 0.07,,,,
17:42:07.515 -> S-0.13 -13.86 65.59 0.07,,,,
17:42:07.515 -> S-0.13 -13.61 65.59 0.07,,,,
17:42:07.515 -> S-0.12 -13.22 65.59 0.07,,,,
17:42:07.515 -> S-0.13 -13.49 65.59 0.07,,,,
17:42:07.515 -> S-0.12 -13.37 65.59 0.07,,,,
17:42:07.549 -> S-0.12 -13.12 65.59 0.07,,,,
17:42:07.549 -> S-0.12 -13.03 65.59 0.07,,,,
17:42:07.549 -> S-0.12 -12.94 65.59 0.07,,,,
17:42:07.549 -> S-0.12 -13.19 65.59 0.07,,,,
17:42:07.549 -> S-0.12 -12.99 65.59 0.07,,,,
17:42:07.549 -> S-0.11 -12.72 65.59 0.07,,,,
17:42:07.582 -> S-0.11 -12.67 65.59 0.07,,,,
17:42:07.582 -> S-0.11 -12.60 65.59 0.07,,,,
17:42:07.582 -> S-0.10 -12.15 65.59 0.07,,,,
17:42:07.582 -> S-0.10 -12.22 65.59 0.07,,,,
17:42:07.582 -> S-0.11 -12.28 65.59 0.07,,,,
17:42:07.582 -> S-0.10 -12.14 65.59 0.07,,,,
17:42:07.619 -> S-0.10 -12.12 65.59 0.07,,,,
17:42:07.619 -> S-0.10 -12.20 65.59 0.07,,,,
17:42:07.619 -> S-0.10 -12.06 65.59 0.07,,,,
17:42:07.619 -> S-0.10 -12.16 65.59 0.07,,,,
17:42:07.619 -> S-0.10 -12.19 65.59 0.07,,,,
17:42:07.619 -> S-0.09 -11.42 65.59 0.07,,,,
17:42:07.657 -> S-0.09 -11.26 65.59 0.07,,,,
17:42:07.657 -> S-0.09 -11.18 65.59 0.07,,,,
17:42:07.657 -> S-0.08 -11.00 65.59 0.07,,,,
17:42:07.657 -> S-0.09 -11.34 65.59 0.07,,,,
17:42:07.657 -> S-0.09 -11.27 65.59 0.07,,,,
17:42:07.657 -> S-0.08 -10.92 65.59 0.07,,,,
17:42:07.691 -> S-0.08 -10.83 65.59 0.07,,,,
17:42:07.691 -> S-0.08 -10.78 65.59 0.07,,,,
17:42:07.691 -> S-0.08 -10.56 65.59 0.07,,,,
17:42:07.691 -> S-0.08 -10.75 65.59 0.07,,,,
17:42:07.691 -> S-0.08 -10.53 65.59 0.07,,,,
17:42:07.691 -> S-0.07 -10.37 65.59 0.07,,,,
17:42:07.727 -> S-0.07 -10.23 65.59 0.07,,,,
17:42:07.727 -> S-0.07 -10.20 65.59 0.07,,,,
17:42:07.727 -> S-0.07 -10.02 65.59 0.07,,,,
17:42:07.727 -> S-0.07 -9.95 65.59 0.07,,,,
17:42:07.727 -> S-0.07 -9.94 65.59 0.07,,,,
17:42:07.727 -> S-0.07 -9.95 65.59 0.07,,,,
17:42:07.764 -> S-0.07 -10.01 65.59 0.07,,,,
17:42:07.764 -> S-0.07 -9.88 65.59 0.07,,,,
17:42:07.764 -> S-0.06 -9.56 65.59 0.07,,,,
17:42:07.764 -> S-0.06 -9.42 65.59 0.07,,,,
17:42:07.764 -> S-0.06 -9.41 65.59 0.07,,,,
17:42:07.764 -> S-0.06 -9.32 65.59 0.07,,,,
17:42:07.798 -> S-0.06 -9.12 65.59 0.07,,,,
17:42:07.798 -> S-0.06 -9.29 65.59 0.07,,,,
17:42:07.798 -> S-0.06 -9.42 65.59 0.07,,,,
17:42:07.798 -> S-0.06 -9.25 65.59 0.07,,,,
17:42:07.798 -> S-0.06 -8.97 65.59 0.07,,,,
17:42:07.798 -> S-0.06 -9.06 65.59 0.07,,,,
17:42:07.831 -> S-0.06 -9.08 65.59 0.07,,,,
17:42:07.831 -> S-0.06 -8.93 65.59 0.07,,,,
17:42:07.831 -> S-0.05 -8.78 65.59 0.07,,,,
17:42:07.831 -> S-0.05 -8.65 65.59 0.07,,,,
17:42:07.831 -> S-0.05 -8.60 65.59 0.07,,,,
17:42:07.867 -> S-0.05 -8.48 65.59 0.07,,,,
17:42:07.867 -> S-0.05 -8.39 65.59 0.07,,,,
17:42:07.867 -> S-0.05 -8.29 65.59 0.07,,,,
17:42:07.867 -> S-0.05 -8.31 65.59 0.07,,,,
17:42:07.867 -> S-0.05 -8.34 65.59 0.07,,,,
17:42:07.867 -> S-0.05 -8.17 65.59 0.07,,,,
17:42:07.867 -> S-0.04 -7.98 65.59 0.07,,,,
17:42:07.901 -> S-0.04 -7.93 65.59 0.07,,,,
17:42:07.901 -> S-0.04 -7.98 65.59 0.07,,,,
17:42:07.901 -> S-0.04 -7.99 65.59 0.07,,,,
17:42:07.901 -> S-0.04 -7.89 65.59 0.07,,,,
17:42:07.901 -> S-0.04 -7.79 65.59 0.07,,,,
17:42:07.935 -> S-0.04 -7.84 65.59 0.07,,,,
17:42:07.935 -> S-0.04 -7.82 65.59 0.07,,,,
17:42:07.935 -> S-0.04 -7.87 65.59 0.07,,,,
17:42:07.935 -> S-0.04 -7.74 65.59 0.07,,,,
17:42:07.935 -> S-0.04 -7.52 65.59 0.07,,,,
17:42:07.935 -> S-0.04 -7.51 65.59 0.07,,,,
17:42:07.970 -> S-0.04 -7.37 65.59 0.07,,,,
17:42:07.970 -> S-0.04 -7.27 65.59 0.07,,,,
17:42:07.970 -> S-0.04 -7.41 65.59 0.07,,,,
17:42:07.970 -> S-0.04 -7.36 65.59 0.07,,,,
17:42:07.970 -> S-0.04 -7.39 65.59 0.07,,,,
17:42:07.970 -> S-0.04 -7.26 65.59 0.07,,,,
17:42:08.005 -> S-0.04 -7.16 65.59 0.07,,,,
17:42:08.005 -> S-0.04 -7.10 65.59 0.07,,,,
17:42:08.005 -> S-0.03 -6.91 65.59 0.07,,,,
17:42:08.005 -> S-0.03 -6.72 65.59 0.07,,,,
17:42:08.005 -> S-0.03 -6.79 65.59 0.07,,,,
17:42:08.039 -> S-0.03 -6.81 65.59 0.07,,,,
17:42:08.039 -> S-0.03 -6.72 65.59 0.07,,,,
17:42:08.039 -> S-0.03 -6.84 65.59 0.07,,,,
17:42:08.039 -> S-0.03 -6.88 65.59 0.07,,,,
17:42:08.039 -> S-0.03 -6.66 65.59 0.07,,,,
17:42:08.039 -> S-0.03 -6.57 65.59 0.07,,,,
17:42:08.073 -> S-0.03 -6.46 65.59 0.07,,,,
17:42:08.073 -> S-0.03 -6.30 65.59 0.07,,,,
17:42:08.073 -> S-0.03 -6.19 65.59 0.07,,,,
17:42:08.073 -> S-0.03 -6.19 65.59 0.07,,,,
17:42:08.073 -> S-0.03 -6.19 65.59 0.07,,,,
17:42:08.073 -> S-0.03 -6.27 65.59 0.07,,,,
17:42:08.109 -> S-0.03 -6.30 65.59 0.07,,,,
17:42:08.109 -> S-0.03 -6.25 65.59 0.07,,,,
17:42:08.109 -> S-0.03 -6.13 65.59 0.07,,,,
17:42:08.109 -> S-0.02 -5.97 65.59 0.07,,,,
17:42:08.109 -> S-0.02 -5.95 65.59 0.07,,,,
17:42:08.146 -> S-0.02 -5.99 65.59 0.07,,,,
17:42:08.146 -> S-0.02 -5.97 65.59 0.07,,,,
17:42:08.146 -> S-0.03 -6.07 65.59 0.07,,,,
17:42:08.146 -> S-0.03 -6.15 65.59 0.07,,,,
17:42:08.146 -> S-0.03 -6.13 65.59 0.07,,,,
17:42:08.146 -> S-0.02 -5.95 65.59 0.07,,,,
17:42:08.180 -> S-0.02 -5.67 65.59 0.07,,,,
17:42:08.180 -> S-0.02 -5.45 65.59 0.07,,,,
17:42:08.180 -> S-0.02 -5.50 65.59 0.07,,,,
17:42:08.180 -> S-0.02 -5.63 65.59 0.07,,,,
17:42:08.180 -> S-0.02 -5.67 65.59 0.07,,,,
17:42:08.180 -> S-0.02 -5.52 65.59 0.07,,,,
17:42:08.214 -> S-0.02 -5.11 65.59 0.07,,,,
17:42:08.214 -> S-0.02 -4.86 65.59 0.07,,,,
17:42:08.214 -> S-0.02 -4.76 65.59 0.07,,,,
17:42:08.214 -> S-0.02 -4.89 65.59 0.07,,,,
17:42:08.214 -> S-0.02 -4.96 65.59 0.07,,,,
17:42:08.214 -> S-0.02 -5.06 65.59 0.07,,,,
17:42:08.248 -> S-0.02 -5.25 65.59 0.07,,,,
17:42:08.248 -> S-0.02 -5.18 65.59 0.07,,,,
17:42:08.248 -> S-0.02 -5.06 65.59 0.07,,,,
17:42:08.248 -> S-0.02 -4.96 65.59 0.07,,,,
17:42:08.248 -> S-0.02 -4.86 65.59 0.07,,,,
17:42:08.282 -> S-0.02 -4.84 65.59 0.07,,,,
17:42:08.282 -> S-0.02 -4.94 65.59 0.07,,,,
17:42:08.282 -> S-0.02 -4.99 65.59 0.07,,,,
17:42:08.282 -> S-0.02 -4.86 65.59 0.07,,,,
17:42:08.282 -> S-0.02 -4.74 65.59 0.07,,,,
17:42:08.282 -> S-0.01 -4.58 65.59 0.07,,,,
17:42:08.282 -> S-0.01 -4.50 65.59 0.07,,,,
17:42:08.319 -> S-0.01 -4.47 65.59 0.07,,,,
17:42:08.319 -> S-0.01 -4.47 65.59 0.07,,,,
17:42:08.319 -> S-0.01 -4.33 65.59 0.07,,,,
17:42:08.319 -> S-0.01 -4.19 65.59 0.07,,,,
17:42:08.319 -> S-0.01 -4.19 65.59 0.07,,,,
17:42:08.319 -> S-0.01 -4.22 65.59 0.07,,,,
17:42:08.354 -> S-0.01 -4.22 65.59 0.07,,,,
17:42:08.354 -> S-0.01 -4.22 65.59 0.07,,,,
17:42:08.354 -> S-0.01 -4.25 65.59 0.07,,,,
17:42:08.354 -> S-0.01 -4.16 65.59 0.07,,,,
17:42:08.354 -> S-0.01 -4.04 65.59 0.07,,,,
17:42:08.391 -> S-0.01 -3.92 65.59 0.07,,,,
17:42:08.391 -> S-0.01 -3.86 65.59 0.07,,,,
17:42:08.391 -> S-0.01 -3.82 65.59 0.07,,,,
17:42:08.391 -> S-0.01 -3.79 65.59 0.07,,,,
17:42:08.391 -> S-0.01 -3.82 65.59 0.07,,,,
17:42:08.391 -> S-0.01 -3.82 65.59 0.07,,,,
17:42:08.425 -> S-0.01 -3.79 65.59 0.07,,,,
17:42:08.425 -> S-0.01 -3.73 65.59 0.07,,,,
17:42:08.425 -> S-0.01 -3.63 65.59 0.07,,,,
17:42:08.425 -> S-0.01 -3.53 65.59 0.07,,,,
17:42:08.425 -> S-0.01 -3.53 65.59 0.07,,,,
17:42:08.425 -> S-0.01 -3.53 65.59 0.07,,,,
17:42:08.458 -> S-0.01 -3.53 65.59 0.07,,,,
17:42:08.458 -> S-0.01 -3.49 65.59 0.07,,,,
17:42:08.458 -> S-0.01 -3.46 65.59 0.07,,,,
17:42:08.458 -> S-0.01 -3.42 65.59 0.07,,,,
17:42:08.458 -> S-0.01 -3.42 65.59 0.07,,,,
17:42:08.458 -> S-0.01 -3.35 65.59 0.07,,,,
17:42:08.494 -> S-0.01 -3.31 65.59 0.07,,,,
17:42:08.494 -> S-0.01 -3.28 65.59 0.07,,,,
17:42:08.494 -> S-0.01 -3.24 65.59 0.07,,,,
17:42:08.494 -> S-0.01 -3.20 65.59 0.07,,,,
17:42:08.494 -> S-0.01 -3.16 65.59 0.07,,,,
17:42:08.532 -> S-0.01 -3.12 65.59 0.07,,,,
17:42:08.532 -> S-0.01 -3.08 65.59 0.07,,,,
17:42:08.532 -> S-0.01 -3.08 65.59 0.07,,,,
17:42:08.532 -> S-0.01 -3.08 65.59 0.07,,,,
17:42:08.532 -> S-0.01 -3.04 65.59 0.07,,,,
17:42:08.532 -> S-0.01 -3.04 65.59 0.07,,,,
17:42:08.532 -> S-0.01 -3.04 65.59 0.07,,,,
17:42:08.570 -> S-0.01 -3.00 65.59 0.07,,,,
17:42:08.570 -> S-0.01 -3.04 65.59 0.07,,,,
17:42:08.570 -> S-0.01 -3.00 65.59 0.07,,,,
17:42:08.570 -> S-0.01 -2.96 65.59 0.07,,,,
17:42:08.570 -> S-0.01 -2.92 65.59 0.07,,,,
17:42:08.570 -> S-0.01 -2.88 65.59 0.07,,,,
17:42:08.604 -> S-0.01 -2.84 65.59 0.07,,,,
17:42:08.604 -> S-0.01 -2.88 65.59 0.07,,,,
17:42:08.604 -> S-0.01 -2.88 65.59 0.07,,,,
17:42:08.604 -> S-0.01 -2.92 65.59 0.07,,,,
17:42:08.604 -> S-0.01 -2.88 65.59 0.07,,,,
17:42:08.604 -> S-0.01 -2.84 65.59 0.07,,,,
17:42:08.641 -> S-0.01 -2.79 65.59 0.07,,,,
17:42:08.641 -> S-0.01 -2.70 65.59 0.07,,,,
17:42:08.641 -> S-0.00 -2.66 65.59 0.07,,,,
17:42:08.641 -> S-0.00 -2.61 65.59 0.07,,,,
17:42:08.641 -> S-0.00 -2.57 65.59 0.07,,,,
17:42:08.641 -> S-0.00 -2.57 65.59 0.07,,,,
17:42:08.675 -> S-0.00 -2.57 65.59 0.07,,,,
17:42:08.675 -> S-0.00 -2.57 65.59 0.07,,,,
17:42:08.675 -> S-0.00 -2.66 65.59 0.07,,,,
17:42:08.675 -> S-0.01 -2.70 65.59 0.07,,,,
17:42:08.675 -> S-0.01 -2.75 65.59 0.07,,,,
17:42:08.675 -> S-0.01 -2.70 65.59 0.07,,,,
17:42:08.710 -> S-0.00 -2.57 65.59 0.07,,,,
17:42:08.710 -> S-0.00 -2.52 65.59 0.07,,,,
17:42:08.710 -> S-0.00 -2.57 65.59 0.07,,,,
17:42:08.710 -> S-0.00 -2.57 65.59 0.07,,,,
17:42:08.710 -> S-0.00 -2.66 65.59 0.07,,,,
17:42:08.710 -> S-0.01 -2.70 65.59 0.07,,,,
17:42:08.747 -> S-0.00 -2.61 65.59 0.07,,,,
17:42:08.747 -> S-0.00 -2.52 65.59 0.07,,,,
17:42:08.747 -> S-0.00 -2.42 65.59 0.07,,,,
17:42:08.747 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.747 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.747 -> S-0.00 -2.42 65.59 0.07,,,,
17:42:08.780 -> S-0.00 -2.42 65.59 0.07,,,,
17:42:08.780 -> S-0.00 -2.47 65.59 0.07,,,,
17:42:08.780 -> S-0.00 -2.42 65.59 0.07,,,,
17:42:08.780 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.780 -> S-0.00 -2.32 65.59 0.07,,,,
17:42:08.815 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.815 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.815 -> S-0.00 -2.42 65.59 0.07,,,,
17:42:08.815 -> S-0.00 -2.42 65.59 0.07,,,,
17:42:08.815 -> S-0.00 -2.42 65.59 0.07,,,,
17:42:08.815 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.848 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.848 -> S-0.00 -2.32 65.59 0.07,,,,
17:42:08.848 -> S-0.00 -2.26 65.59 0.07,,,,
17:42:08.848 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.848 -> S-0.00 -2.26 65.59 0.07,,,,
17:42:08.848 -> S-0.00 -2.26 65.59 0.07,,,,
17:42:08.883 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.883 -> S-0.00 -2.37 65.59 0.07,,,,
17:42:08.883 -> S-0.00 -2.32 65.59 0.07,,,,
17:42:08.883 -> S-0.00 -2.26 65.59 0.07,,,,
17:42:08.883 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.919 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:08.919 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.919 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.919 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.919 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.919 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.953 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.953 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:08.953 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:08.953 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:08.953 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:08.953 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:08.990 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:08.990 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.990 -> S-0.00 -2.21 65.59 0.07,,,,
17:42:08.990 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:08.990 -> S-0.00 -2.10 65.59 0.07,,,,
17:42:08.990 -> S-0.00 -2.04 65.59 0.07,,,,
17:42:08.990 -> S-0.00 -2.04 65.59 0.07,,,,
17:42:09.026 -> S-0.00 -2.10 65.59 0.07,,,,
17:42:09.026 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:09.026 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:09.026 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:09.026 -> S-0.00 -2.10 65.59 0.07,,,,
17:42:09.026 -> S-0.00 -2.10 65.59 0.07,,,,
17:42:09.064 -> S-0.00 -2.04 65.59 0.07,,,,
17:42:09.064 -> S-0.00 -2.04 65.59 0.07,,,,
17:42:09.064 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.064 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.064 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.100 -> S-0.00 -2.10 65.59 0.07,,,,
17:42:09.100 -> S-0.00 -2.15 65.59 0.07,,,,
17:42:09.100 -> S-0.00 -2.10 65.59 0.07,,,,
17:42:09.100 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.100 -> S-0.00 -1.91 65.59 0.07,,,,
17:42:09.100 -> S-0.00 -1.91 65.59 0.07,,,,
17:42:09.100 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.137 -> S-0.00 -2.04 65.59 0.07,,,,
17:42:09.137 -> S-0.00 -2.10 65.59 0.07,,,,
17:42:09.137 -> S-0.00 -2.10 65.59 0.07,,,,
17:42:09.137 -> S-0.00 -2.04 65.59 0.07,,,,
17:42:09.137 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.137 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.173 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.173 -> S-0.00 -1.91 65.59 0.07,,,,
17:42:09.173 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.173 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.173 -> S-0.00 -1.98 65.59 0.07,,,,
17:42:09.173 -> S-0.00 -1.91 65.59 0.07,,,,
17:42:09.209 -> S-0.00 -1.78 65.59 0.07,,,,
17:42:09.209 -> S-0.00 -1.78 65.59 0.07,,,,
17:42:09.209 -> S-0.00 -1.78 65.59 0.07,,,,
17:42:09.209 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.209 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.209 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.245 -> S-0.00 -1.91 65.59 0.07,,,,
17:42:09.245 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.245 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.245 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.245 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.245 -> S-0.00 -1.91 65.59 0.07,,,,
17:42:09.280 -> S-0.00 -1.91 65.59 0.07,,,,
17:42:09.280 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.280 -> S-0.00 -1.85 65.59 0.07,,,,
17:42:09.280 -> S-0.00 -1.78 65.59 0.07,,,,
17:42:09.280 -> S-0.00 -1.78 65.59 0.07,,,,
17:42:09.280 -> S-0.00 -1.78 65.59 0.07,,,,
17:42:09.315 -> S-0.00 -1.78 65.59 0.07,,,,
