,Min1,Max1,Min2,Max2
Compliance (L/cmh20),0.03,,,
Port,Patien,,,
Left Pressure (cmH20),5,7,,
Right Pressure (cmH20),2.5,5,,
Left Volume(L),0.5,0.15,0.05,0.15
Right Volume(L),0.1,0.17,0.11,0.18
Breat Rate (breath/min),15,,,
I:E,1:3,,,
Flow Rate (L/min),10,,,
,,,,
17:42:06.826 ->,,,,
17:42:06.826 -> S-09.00 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.07 153.48 1.70,,,,
17:42:06.826 -> 0,,,,
17:42:06.826 -> S0.09 11.05 153.48 1.70,,,,
17:42:06.826 -> S0.08 10.99 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.09 153.48 1.70,,,,
17:42:06.826 -> S0.08 11.00 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.07 153.48 1.70,,,,
17:42:06.826 -> 0,,,,
17:42:06.826 -> S0.09 11.05 153.48 1.70,,,,
17:42:06.826 -> S0.08 10.99 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.09 153.48 1.70,,,,
17:42:06.826 -> S0.08 11.00 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.07 153.48 1.70,,,,
17:42:06.826 -> 0,,,,
17:42:06.826 -> S0.09 11.05 153.48 1.70,,,,
17:42:06.826 -> S0.08 10.99 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.09 153.48 1.70,,,,
17:42:06.826 -> S0.08 11.00 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.07 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.11 153.48 1.70,,,,
17:42:06.826 -> S0.09 11.10 153.48 1.70,,,,
17:42:06.826 -> S0.0S0.09 11.07 0.00 0.00,,,,
17:42:06.912 -> S0.08 10.89 0.00 0.00,,,,
17:42:06.912 -> S0.09 11.12 0.00 0.00,,,,
17:42:06.912 -> S0.09 11.26 0.00 0.00,,,,
17:42:06.912 -> S0.09 11.17 0.00 0.00,,,,
17:42:06.912 -> S0.08 10.94 0.00 0.00,,,,
17:42:06.947 -> S0.08 10.90 0.00 0.00,,,,
17:42:06.947 -> S0.08 10.99 0.00 0.00,,,,
17:42:06.947 -> S0.08 10.89 0.00 0.00,,,,
17:42:06.947 -> S0.08 10.84 0.00 0.00,,,,
17:42:06.947 -> S0.08 10.92 0.00 0.00,,,,
17:42:06.947 -> S0.08 11.03 0.00 0.00,,,,
17:42:06.984 -> S0.09 11.09 0.00 0.00,,,,
17:42:06.984 -> S0.08 11.02 0.00 0.00,,,,
17:42:06.984 -> S0.08 11.00 0.00 0.00,,,,
17:42:06.984 -> S0.09 11.18 0.00 0.00,,,,
17:42:06.984 -> S0.08 11.01 0.00 0.00,,,,
17:42:06.984 -> S0.09 11.10 0.00 0.00,,,,
17:42:07.022 -> S0.09 11.26 0.00 0.00,,,,
17:42:07.022 -> S0.09 11.29 0.00 0.00,,,,
17:42:07.022 -> S0.09 11.22 0.00 0.00,,,,
17:42:07.022 -> S0.09 11.12 0.00 0.00,,,,
17:42:07.022 -> S0.08 10.94 0.00 0.00,,,,
17:42:07.022 -> S0.08 10.96 0.00 0.00,,,,
17:42:07.056 -> S0.08 10.96 0.00 0.00,,,,
17:42:07.056 -> S0.08 10.99 0.00 0.00,,,,
17:42:07.056 -> S0.08 11.03 0.00 0.00,,,,
17:42:07.056 -> S0.08 11.00 0.00 0.00,,,,
17:42:07.056 -> S0.09 11.18 0.00 0.00,,,,
17:42:07.056 -> S0.09 11.16 0.00 0.00,,,,
17:42:07.093 -> S0.09 11.09 0.00 0.00,,,,
17:42:07.093 -> S0.08 10.91 0.00 0.00,,,,
17:42:07.093 -> S0.08 10.98 0.00 0.00,,,,
17:42:07.093 -> S0.09 11.31 0.00 0.00,,,,
17:42:07.093 -> S0.09 11.25 0.00 0.00,,,,
17:42:07.093 -> S0.09 11.20 0.00 0.00,,,,
17:42:07.093 -> S0.09 11.11 0.00 0.00,,,,
17:42:07.130 -> S0.09 11.23 0.00 0.00,,,,
17:42:07.130 -> S0.09 11.26 0.00 0.00,,,,
17:42:07.130 -> S0.09 11.35 0.00 0.00,,,,
17:42:07.130 -> S0.09 11.12 0.00 0.00,,,,
17:42:07.130 -> S0.08 11.02 0.00 0.00,,,,
17:42:07.164 -> S0.08 11.04 0.00 0.00,,,,
17:42:07.164 -> S0.08 10.86 0.00 0.00,,,,
17:42:07.164 -> S0.09 11.16 0.00 0.00,,,,
17:42:07.164 -> S0.09 11.11 0.00 0.00,,,,
17:42:07.164 -> S0.08 10.92 0.00 0.00,,,,
17:42:07.164 -> S0.09 11.12 0.00 0.00,,,,
17:42:07.198 -> S0.09 11.15 0.00 0.00,,,,
17:42:07.198 -> S0.08 11.01 0.00 0.00,,,,
